Total floor area,Window fraction,Annual Average temperature,Occupancy level,Total heating and cooling energy use - GJ
2500,0.14,49.85,4.05,643.78
2500,0.14,49.85,2.11,644.97
2500,0.14,49.85,3.05,644.64
2500,0.14,49.85,2.45,643.03
2500,0.14,49.85,2.24,642.45
2500,0.14,49.85,1.96,642.95
2500,0.14,49.85,2.06,643.02
2500,0.14,49.85,1.46,644.4
2500,0.14,49.85,4.31,643.72
2500,0.14,49.85,2.79,644.86
2500,0.14,49.85,4.55,644.82
2500,0.14,49.85,4.73,643.91
2500,0.14,49.85,2.54,642.64
2500,0.14,49.85,3.18,644.08
2500,0.14,49.85,1.71,644.71
2500,0.14,49.85,1.85,643.75
2500,0.14,49.85,1.59,644.28
2500,0.14,49.85,2.93,643.13
2500,0.14,49.85,4.78,643.84
2500,0.14,49.85,2.97,643.98
2500,0.14,49.85,2.5,644.47
2500,0.14,49.85,1.34,643.13
2500,0.14,49.85,3.64,643.3
2500,0.14,49.85,2.59,644.33
2500,0.14,49.85,1.89,644.33
2500,0.14,49.85,4,642.6
2500,0.14,49.85,2.21,643.24
2500,0.14,49.85,3.36,643.94
2500,0.14,49.85,3.98,643.33
2500,0.14,49.85,1.61,642.99
2500,0.14,49.85,3.39,643.8
2500,0.14,49.85,3.3,643.03
2500,0.14,49.85,2.31,643.42
2500,0.14,49.85,2.12,643.66
2500,0.14,49.85,3.79,644.27
2500,0.14,49.85,3.51,642.86
2500,0.14,49.85,2.48,644.55
2500,0.14,49.85,3.82,643.9
2500,0.14,49.85,3.86,643.47
2500,0.14,49.85,2.64,642.73
2500,0.14,49.85,2.39,643.44
2500,0.14,49.85,4.13,642.91
2500,0.14,49.85,3,643.89
2500,0.14,49.85,1.37,643.33
2500,0.14,49.85,1.22,643.19
2500,0.14,49.85,3.25,644.46
2500,0.14,49.85,3.75,642.84
2500,0.14,49.85,1.83,643.3
2500,0.14,49.85,3.07,643.69
2500,0.14,49.85,1.79,642.23
2500,0.14,49.85,2.61,642.74
2500,0.14,39.45,3.44,920.84
2500,0.14,39.45,3.95,920.63
2500,0.14,39.45,2.92,918.95
2500,0.14,39.45,3.16,921.06
2500,0.14,39.45,4.84,918.68
2500,0.14,39.45,2.66,919.06
2500,0.14,39.45,1.45,920.49
2500,0.14,39.45,1.91,921.85
2500,0.14,39.45,1.9,919.97
2500,0.14,39.45,2.75,921.89
2500,0.14,39.45,4.54,920.69
2500,0.14,39.45,2.69,919.49
2500,0.14,39.45,2.94,921.91
2500,0.14,39.45,1.97,920.1
2500,0.14,39.45,3.33,921.41
2500,0.14,39.45,1.25,920.75
2500,0.14,39.45,2.07,921.52
2500,0.14,39.45,3.9,919.73
2500,0.14,39.45,4.02,921.14
2500,0.14,39.45,2.87,920.15
2500,0.14,39.45,3.72,919.99
2500,0.14,39.45,3.17,920.18
2500,0.14,39.45,2.38,920.82
2500,0.14,39.45,2.53,920.3
2500,0.14,39.45,2.5,921.81
2500,0.14,39.45,3.56,921.08
2500,0.14,39.45,2.89,919.27
2500,0.14,39.45,3,921.66
2500,0.14,39.45,1.98,921.48
2500,0.14,39.45,2.72,920.31
2500,0.14,39.45,3.91,921.49
2500,0.14,39.45,2.27,920.15
2500,0.14,39.45,2.89,919.58
2500,0.14,39.45,4.33,922.88
2500,0.14,39.45,3.39,919.79
2500,0.14,39.45,2.97,921.16
2500,0.14,39.45,2.52,920.03
2500,0.14,39.45,4.71,922.17
2500,0.14,39.45,3.08,920.76
2500,0.14,39.45,2.24,921.3
2500,0.14,39.45,2.44,922.27
2500,0.14,39.45,2.2,922.8
2500,0.14,39.45,2.48,920.14
2500,0.14,39.45,4.25,920.73
2500,0.14,39.45,3.28,922.05
2500,0.14,39.45,3.61,919.61
2500,0.14,39.45,4.11,921.17
2500,0.14,39.45,3.02,921.44
2500,0.14,39.45,3.1,921.74
2500,0.14,39.45,3.04,922.51
2500,0.14,39.45,2.78,921.98
2500,0.14,39.45,2.41,918.82
2500,0.14,39.45,2.12,919.37
2500,0.14,39.45,3.45,920.81
2500,0.14,39.45,2.03,921.15
2500,0.14,39.45,1.15,920.41
2500,0.14,39.45,4.07,918.8
2500,0.14,39.45,2.39,919.39
2500,0.14,39.45,2.34,921.6
2500,0.14,39.45,2.05,920.09
2500,0.14,39.45,4.15,920.94
2500,0.14,39.45,3.5,921.27
2500,0.14,39.45,3.38,921.21
2500,0.14,39.45,1.72,921.51
2500,0.14,39.45,4.19,921.42
2500,0.14,39.45,1.56,919.95
2500,0.14,39.45,2.19,920.88
2500,0.14,39.45,3.59,920.51
2500,0.14,39.45,3.65,919.21
2500,0.14,39.45,3.79,921.62
2500,0.14,39.45,1.85,919.93
2500,0.14,39.45,2.1,918.45
2500,0.14,39.45,2.43,919.75
2500,0.14,39.45,4.92,921.45
2500,0.14,39.45,3.2,922.27
2500,0.14,39.45,1.82,919.89
2500,0.14,39.45,2.77,919.73
2500,0.14,39.45,3.52,922.28
2500,0.14,39.45,1.35,922.54
2500,0.14,39.45,2.81,922.62
2500,0.14,39.45,3.32,920.57
2500,0.14,39.45,3.23,921.66
2500,0.14,39.45,1.64,919.69
2500,0.14,39.45,2.61,919.72
2500,0.14,39.45,3.74,919.89
2500,0.14,39.45,2.64,922.36
2500,0.14,39.45,2.58,920.51
2500,0.14,39.45,2.33,919.66
2500,0.14,39.45,1.78,923.06
2500,0.14,39.45,2.69,921.12
2500,0.14,39.45,3.12,920.61
2500,0.14,39.45,2.84,919.53
2500,0.14,39.45,4.58,920.21
2500,0.14,39.45,2.27,923.06
2500,0.14,39.45,1.67,919.63
2500,0.14,39.45,3.7,919.98
2500,0.14,39.45,3.85,920.38
2500,0.14,39.45,4.36,923.36
2500,0.14,39.45,4.41,921.19
2500,0.14,39.45,1.76,919.79
2500,0.14,64.65,2.38,250.99
2500,0.14,64.65,1.77,250.47
2500,0.14,64.65,2.25,250.89
2500,0.14,64.65,4.08,251.45
2500,0.14,64.65,2.71,251.4
2500,0.14,64.65,3.57,250.89
2500,0.14,64.65,4.57,251.11
2500,0.14,64.65,3.22,251.06
2500,0.14,64.65,2.82,250.86
2500,0.14,64.65,3.42,251.16
2500,0.14,64.65,2.56,251.57
2500,0.14,64.65,2.29,251.56
2500,0.14,64.65,2.75,251.06
2500,0.14,64.65,2.15,250.96
2500,0.14,64.65,3.02,251.62
2500,0.14,64.65,3.13,251.42
2500,0.14,64.65,2.96,251.11
2500,0.14,64.65,4.9,251.62
2500,0.14,64.65,4.23,250.94
2500,0.14,64.65,3.15,251.6
2500,0.14,64.65,2.44,251.15
2500,0.14,64.65,4.47,251.12
2500,0.14,64.65,2.05,251.73
2500,0.14,64.65,3.09,251.75
2500,0.14,64.65,2.52,251.3
2500,0.14,64.65,1.54,250.95
2500,0.14,64.65,3.35,251.58
2500,0.14,64.65,1.99,251.07
2500,0.14,64.65,3.29,251.19
2500,0.14,64.65,2.18,250.97
2500,0.14,64.65,2.66,250.94
2500,0.14,64.65,2.84,251.03
2500,0.14,64.65,4.37,251.07
2500,0.14,64.65,3.2,251.76
2500,0.14,64.65,1.93,251.2
2500,0.14,64.65,2.4,251.51
2500,0.14,64.65,2.33,250.97
2500,0.14,64.65,3.47,250.87
2500,0.14,64.65,2.76,250.78
2500,0.14,64.65,3.62,251.59
2500,0.14,64.65,2.57,251.27
2500,0.14,64.65,3.49,251.17
2500,0.14,64.65,2.69,251.17
2500,0.14,64.65,2.02,251.12
2500,0.14,64.65,3.57,252.07
2500,0.14,64.65,1.65,251.23
2500,0.14,64.65,4.2,251.37
2500,0.14,64.65,3.92,251.39
2500,0.14,64.65,2.69,250.7
2500,0.14,64.65,2.36,251.01
2500,0.14,64.65,4.05,251.36
2500,0.14,64.65,2.11,250.57
2500,0.14,64.65,3.05,250.74
2500,0.14,64.65,2.45,251.07
2500,0.14,64.65,2.24,251.36
2500,0.14,64.65,1.96,251.38
2500,0.14,64.65,2.06,251.28
2500,0.14,64.65,1.46,250.85
2500,0.14,64.65,4.31,252.2
2500,0.14,64.65,2.79,251.17
2500,0.14,64.65,4.55,251.16
2500,0.14,64.65,4.73,251.35
2500,0.14,64.65,2.54,251.88
2500,0.14,64.65,3.18,251.24
2500,0.14,64.65,1.71,250.86
2500,0.14,64.65,1.85,250.92
2500,0.14,64.65,1.59,250.51
2500,0.14,64.65,2.93,251.08
2500,0.14,64.65,4.78,251.26
2500,0.14,64.65,2.97,251.25
2500,0.14,64.65,2.5,250.97
2500,0.14,64.65,1.34,251.16
2500,0.14,64.65,3.64,251.8
2500,0.14,64.65,2.59,251.12
2500,0.14,64.65,1.89,251.44
2500,0.14,64.65,4,251.29
2500,0.14,64.65,2.21,251.28
2500,0.14,64.65,3.36,250.96
2500,0.14,64.65,3.98,251.38
2500,0.14,64.65,1.61,251.15
2500,0.14,64.65,3.39,250.9
2500,0.14,64.65,3.3,251.59
2500,0.14,64.65,2.31,251.45
2500,0.14,64.65,2.12,251.06
2500,0.14,64.65,3.79,251.31
2500,0.14,64.65,3.51,251.81
2500,0.14,64.65,2.48,250.99
2500,0.14,64.65,3.82,251.3
2500,0.14,64.65,3.86,251.08
2500,0.14,64.65,2.64,252.11
2500,0.14,64.65,2.39,251.45
2500,0.14,64.65,4.13,251.84
2500,0.14,64.65,3,251.08
2500,0.14,64.65,1.37,251.32
2500,0.14,64.65,1.22,251.17
2500,0.14,64.65,3.25,251.09
2500,0.14,64.65,3.75,251.35
2500,0.14,64.65,1.83,251.61
2500,0.14,64.65,3.07,251.36
2500,0.14,64.65,1.79,251.3
2500,0.14,64.65,2.61,251.35
2500,0.14,27.55,2.38,1345.32
2500,0.14,27.55,1.77,1345.55
2500,0.14,27.55,2.25,1346.58
2500,0.14,27.55,4.08,1344.14
2500,0.14,27.55,2.71,1343.37
2500,0.14,27.55,3.57,1344.75
2500,0.14,27.55,4.57,1345.32
2500,0.14,27.55,3.22,1342.44
2500,0.14,27.55,2.82,1345.89
2500,0.14,27.55,3.42,1342.9
2500,0.14,27.55,2.56,1341.87
2500,0.14,27.55,2.29,1342.54
2500,0.14,27.55,2.75,1345.76
2500,0.14,27.55,2.15,1345.19
2500,0.14,27.55,3.02,1342.69
2500,0.14,27.55,3.13,1342.01
2500,0.14,27.55,2.96,1343.88
2500,0.14,27.55,4.9,1342.36
2500,0.14,27.55,4.23,1343.95
2500,0.14,27.55,3.15,1341.95
2500,0.14,27.55,2.44,1344.24
2500,0.14,27.55,4.47,1344.44
